method,features,lags,mas,f1,precision,recall,cm
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_9_value')",0.023809523809523808,0.013071895424836602,0.13333333333333333,"[[1101  151]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_9_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.011428571428571429,0.00625,0.06666666666666667,"[[1093  159]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_4_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_4_value')",0.022727272727272728,0.012422360248447204,0.13333333333333333,"[[1093  159]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_4_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_5_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_5_value')",0.023809523809523808,0.013071895424836602,0.13333333333333333,"[[1101  151]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_5_value')",0.02531645569620253,0.015625,0.06666666666666667,"[[1189   63]
 [  14    1]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_6_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_6_value')",0.012658227848101266,0.006993006993006993,0.06666666666666667,"[[1110  142]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_6_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_7_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_7_value')",0.024844720496894408,0.0136986301369863,0.13333333333333333,"[[1108  144]
 [  13    2]]"
